incident_id,source_file,date,lat,lon,temp_max,temp_min,rh_max,rh_min,precip_sum,rain_sum,precip_hours,wind_max,gust_max,wind_dir,radiation,sunshine,et0
AG1211110,2021.csv,2021-07-13,37.4144444444444,-7.69722222222222,31.3,14.7,72,18,0.0,0.0,0.0,21.7,46.1,337,29.62,47489.16,7.77
AG1211131,2021.csv,2021-07-17,37.2594444444444,-8.67111111111111,29.8,18.2,85,36,0.0,0.0,0.0,22.3,42.1,341,29.13,47727.43,6.7
AG1211131,2021.csv,2021-07-18,37.2594444444444,-8.67111111111111,23.6,15.7,99,56,0.0,0.0,0.0,29.0,53.6,339,28.57,46132.53,4.84
AG1211218,2021.csv,2021-08-04,37.1733300002416,-7.9725,34.4,19.3,77,27,0.0,0.0,0.0,33.4,59.8,356,26.81,46433.18,8.28
AG1211218,2021.csv,2021-08-05,37.1733300002416,-7.9725,36.8,19.4,70,13,0.0,0.0,0.0,29.4,51.8,1,27.64,46386.49,8.91
AG1211220,2021.csv,2021-08-04,37.1633333333333,-7.98111111111111,34.0,18.9,77,27,0.0,0.0,0.0,33.4,59.8,356,26.81,46433.18,8.21
AG1211220,2021.csv,2021-08-05,37.1633333333333,-7.98111111111111,36.4,19.0,70,12,0.0,0.0,0.0,29.4,51.8,1,27.64,46386.49,8.84
AG1211232,2021.csv,2021-08-06,37.2402777777778,-8.00861111111111,35.1,18.7,80,19,0.0,0.0,0.0,33.0,53.6,353,27.05,46315.23,7.96
AG1211287,2021.csv,2021-08-16,37.3072222222222,-7.61472222222222,38.9,21.8,44,8,0.0,0.0,0.0,24.1,51.1,331,27.04,45666.05,10.57
AG1211287,2021.csv,2021-08-17,37.3072222222222,-7.61472222222222,35.7,21.1,54,18,0.0,0.0,0.0,21.7,47.2,311,26.12,45546.76,8.36
AG1211309,2021.csv,2021-08-18,37.4044444444444,-7.905,36.6,19.4,59,13,0.0,0.0,0.0,22.9,49.7,307,26.11,45445.64,7.55
AG1211309,2021.csv,2021-08-19,37.4044444444444,-7.905,34.5,15.8,86,16,0.0,0.0,0.0,18.9,40.3,312,26.22,45322.67,6.63
AG1211328,2021.csv,2021-08-22,37.3294444444444,-7.78583333333333,35.8,17.3,86,20,0.0,0.0,0.0,17.4,36.0,331,24.4,44937.25,6.28
